date,symbol,adjClose,volume
2017-03-31,TUR,32.4121515502,300363
2017-04-03,VOO,204.7532924486,2843874
2017-04-03,TUR,32.4664735919,381326
2017-04-03,VNQI,45.51888699770001,392540
2017-04-04,TUR,32.203917057,261785
2017-04-04,VOO,204.867002163,2481598
2017-04-04,VNQI,45.6297422863,197565
2017-04-05,VOO,204.2415987337,2311797
2017-04-05,VNQI,45.680906265699996,387404
2017-04-05,TUR,32.0590582791,775459
2017-04-06,TUR,31.9775752166,107646
2017-04-06,VOO,204.7722440677,1635457
2017-04-06,VNQI,45.8343982039,256005
2017-04-07,TUR,31.9141995013,426221
2017-04-07,VNQI,45.9452534926,237436
2017-04-07,VOO,204.59220368650003,1835945
2017-04-10,TUR,32.8648352311,423021
2017-04-10,VNQI,45.8173435441,380200
2017-04-10,VOO,204.7343408295,1311885
2017-04-11,VNQI,46.1328547504,355067
2017-04-11,VOO,204.478493972,1787316
2017-04-11,TUR,33.245089523000004,412031
2017-04-12,VNQI,46.4057293071,552881
2017-04-12,VOO,203.63514692340001,2002741
2017-04-12,TUR,33.6525048358,551784
2017-04-13,TUR,32.9282109464,418125
2017-04-13,VOO,202.2801061598,1806823
2017-04-13,VNQI,46.3545653277,261817
2017-04-17,VOO,204.0520825429,1746903
2017-04-17,VNQI,46.8150411422,354111
2017-04-17,TUR,32.882942578299996,494893
2017-04-18,VOO,203.49300978029999,2696140
2017-04-18,VNQI,46.6871311937,230334
2017-04-18,TUR,33.552914426,426477
2017-04-19,VOO,203.0476467322,2032384
2017-04-19,TUR,33.0730697243,320426
2017-04-19,VNQI,46.3630926576,327225
2017-04-20,TUR,34.0870811694,560304
2017-04-20,VNQI,46.525111925699996,231223
2017-04-20,VOO,204.7059134009,2734329
2017-04-21,VOO,204.1089374002,2594355
2017-04-21,VNQI,46.4910026061,2718009
2017-04-21,TUR,34.2047789265,380652
2017-04-24,VNQI,46.6444945443,405595
2017-04-24,VOO,206.2883735934,2366350
2017-04-24,TUR,35.5447226218,637634
2017-04-25,TUR,35.7348497678,411176
2017-04-25,VNQI,46.8662051216,314791
2017-04-25,VOO,207.5297046426,1745507
2017-04-26,TUR,35.6262056844,446782
2017-04-26,VOO,207.37809169,2824460
2017-04-26,VNQI,46.738295173100006,1011644
2017-04-27,TUR,35.780118135900004,316266
2017-04-27,VOO,207.5391804521,1154178
2017-04-27,VNQI,46.695658523599995,234075
2017-04-28,VOO,207.1411964516,1257631
2017-04-28,VNQI,46.4398386267,379344
2017-04-28,TUR,36.0064599763,392497
2017-05-01,VOO,207.643414357,1506653
2017-05-01,TUR,35.8887622193,895722
2017-05-01,VNQI,46.584803235,340989
2017-05-02,VNQI,46.9855877402,378019
2017-05-02,VOO,207.70974502369998,2573012
2017-05-02,TUR,36.0969967125,453212
2017-05-03,VOO,207.50127721400003,1654565
2017-05-03,TUR,35.7439034414,457465
2017-05-03,VNQI,46.7553498329,275774
2017-05-04,VOO,207.6907934047,1439117
2017-05-04,TUR,35.191629350700005,261983
2017-05-04,VNQI,46.57627590510001,245537
2017-05-05,VOO,208.5246646438,1729796
2017-05-05,VNQI,46.89178711130001,195108
2017-05-05,TUR,35.943084260999996,287300
2017-05-08,VNQI,46.89178711130001,260020
2017-05-08,VOO,208.5341404534,2225028
2017-05-08,TUR,35.1101462882,268787
2017-05-09,VOO,208.2688177864,1637189
2017-05-09,VNQI,46.9855877402,240568
2017-05-09,TUR,35.3636491495,511817
2017-05-10,VNQI,47.062333709300006,347240
2017-05-10,VOO,208.6573259773,1067300
2017-05-10,TUR,36.2961775321,382703
2017-05-11,TUR,35.8978158929,315784
2017-05-11,VOO,208.2309145482,1855740
2017-05-11,VNQI,47.062333709300006,354360
2017-05-12,VNQI,47.1220250186,420873
2017-05-12,VOO,207.908737024,1056500
2017-05-12,TUR,35.825386504,182478
2017-05-15,TUR,36.585895087800004,185100
2017-05-15,VNQI,47.335208266,318888
2017-05-15,VOO,208.9605518825,1441038
2017-05-16,VNQI,47.3693175856,292744
2017-05-16,TUR,36.6673781504,221672
2017-05-16,VOO,208.9226486443,2452545
2017-05-17,VOO,205.2176071158,3507715
2017-05-17,TUR,35.8525475248,201091
2017-05-17,VNQI,47.23288030720001,755465
2017-05-18,VNQI,46.9600057505,228509
2017-05-18,TUR,35.2821660869,346173
2017-05-18,VOO,205.96619606919998,2894833
2017-05-19,TUR,36.3776605946,581223
2017-05-19,VOO,207.2454303565,2436492
2017-05-19,VNQI,47.394899575299995,510562
